id,text,anger,disgust,fear,joy,sadness,surprise,emotions,tokens,stemmed_tokens
hau_train_track_a_00001,"kotu ta yi hukunci kan shari'ar zaben dan majalisar pdp, ta yi hukuncin bazata",0,0,0,0,0,1,"('surprise',)","['kotu', 'hukunci', 'kan', ""shari'ar"", 'zaben', 'dan', 'majalisar', 'pdp', ',', 'hukuncin', 'bazata']","['kotu', 'hukunci', 'kan', ""shari'ar"", 'zaben', 'dan', 'majalisar', 'pdp', 'hukuncin', 'bazata']"
hau_train_track_a_00002,"toh fah inji 'yan magana suka ce """"""""ana wata ga wata""""""""🤣😂",0,0,0,0,0,1,"('surprise',)","['toh', 'fah', 'inji', ""'yan"", 'magana', '``', ""''"", ""''"", ""''"", 'ana', ""''"", ""''"", ""''"", ""''"", '🤣😂']","['toh', 'fah', 'inji', ""'yan"", 'magana', ""''"", ""''"", ""''"", 'ana', ""''"", ""''"", ""''"", ""''""]"
hau_train_track_a_00003,bincike ya nuna yan najeriya sun fi damuwa da rashin tsaro da talauci fiye da korona,0,0,1,0,1,0,"('fear', 'sadness')","['bincike', 'nuna', 'yan', 'najeriya', 'fi', 'damuwa', 'rashin', 'tsaro', 'talauci', 'fiye', 'korona']","['bincik', 'nuna', 'yan', 'najeriya', 'fi', 'damuwa', 'rashin', 'tsaro', 'talauci', 'fiy', 'korona']"
hau_train_track_a_00004,kwamishina ya musanta rahoton masari ya cire kusan miliyan n500m don tarban buhari,0,0,0,0,0,0,(),"['kwamishina', 'musanta', 'rahoton', 'masari', 'cire', 'kusan', 'miliyan', 'n500m', 'tarban', 'buhari']","['kwamishina', 'musanta', 'rahoton', 'masari', 'cire', 'kusan', 'miliyan', 'nm', 'tarban', 'buhari']"
hau_train_track_a_00005,innalillahi wa inna ilaihir raji'un: allah ya yi wa mahaifiyar halima atete rasuwa,0,0,0,0,1,0,"('sadness',)","['innalillahi', 'wa', 'inna', 'ilaihir', ""raji'un"", ':', 'allah', 'wa', 'mahaifiyar', 'halima', 'atete', 'rasuwa']","['innalillahi', 'wa', 'inna', 'ilaihir', ""raji'un"", ':', 'allah', 'wa', 'mahaifiyar', 'halima', 'atet', 'rasuwa']"
hau_train_track_a_00006,gsky ne wanan daman temakon allah muke so kuma atiku shine ze zama sila allah yasaka da alheri atiku up up atiku️️,0,0,0,1,0,0,"('joy',)","['gsky', 'wanan', 'daman', 'temakon', 'allah', 'muke', 'so', 'atiku', 'shine', 'ze', 'zama', 'sila', 'allah', 'yasaka', 'alheri', 'atiku', 'up', 'up', 'atiku️️']","['gski', 'wanan', 'daman', 'temakon', 'allah', 'muke', 'so', 'atiku', 'shine', 'ze', 'zama', 'sila', 'allah', 'yasaka', 'alheri', 'atiku', 'up', 'up', 'atiku']"
hau_train_track_a_00007,allah yasa yadawo shekanke in banda tsiya miyake tsinanawa yan nigeria🙄🙄🙄,1,0,0,0,0,0,"('anger',)","['allah', 'yasa', 'yadawo', 'shekanke', 'banda', 'tsiya', 'miyake', 'tsinanawa', 'yan', 'nigeria🙄🙄🙄']","['allah', 'yasa', 'yadawo', 'shekank', 'banda', 'tsiya', 'miyak', 'tsinanawa', 'yan', 'nigeria']"
hau_train_track_a_00008,duk abun da zakuyi wlh duniyar gaba daya sai kunbarta bama mulkin kadai ba marasa kishi kawai komai baku kirkiraras sai idan wani sha'ani na addininku yazo azzaluman ban da akayi edi dai sai munyi muga aban da zai hana mu☹️☹️☹️☹️ boss mustapha kake ko wa😞,1,0,0,0,0,0,"('anger',)","['duk', 'abun', 'zakuyi', 'wlh', 'duniyar', 'gaba', 'daya', 'kunbarta', 'bama', 'mulkin', 'kadai', 'marasa', 'kishi', 'kawai', 'komai', 'baku', 'kirkiraras', 'idan', ""sha'ani"", 'addininku', 'yazo', 'azzaluman', 'akayi', 'edi', 'dai', 'munyi', 'muga', 'aban', 'zai', 'hana', 'mu☹️☹️☹️☹️', 'boss', 'mustapha', 'kake', 'wa😞']","['duk', 'abun', 'zakuyi', 'wlh', 'duniyar', 'gaba', 'daya', 'kunbarta', 'bama', 'mulkin', 'kadai', 'marasa', 'kishi', 'kawai', 'komai', 'baku', 'kirkirara', 'idan', ""sha'ani"", 'addininku', 'yazo', 'azzaluman', 'akayi', 'edi', 'dai', 'munyi', 'muga', 'aban', 'zai', 'hana', 'mu', 'boss', 'mustapha', 'kake', 'wa']"
hau_train_track_a_00009,abun mamaki bata karewah,0,0,0,0,0,1,"('surprise',)","['abun', 'mamaki', 'bata', 'karewah']","['abun', 'mamaki', 'bata', 'karewah']"
hau_train_track_a_00010,ramadan: kalli yadda sarkin kano yake karatun al-qur’ani a masallacin annabi (sa.w),0,0,0,0,0,1,"('surprise',)","['ramadan', ':', 'kalli', 'yadda', 'sarkin', 'kano', 'karatun', 'al-qur', '’', 'ani', 'masallacin', 'annabi', '(', 'sa.w', ')']","['ramadan', ':', 'kalli', 'yadda', 'sarkin', 'kano', 'karatun', 'al-qur', '’', 'ani', 'masallacin', 'annabi', '(', 'sa.w', ')']"
hau_train_track_a_00011,allah yajikanshi allah yagafarta mashi allah yasa karshen wahalar kenan dasauran musulmi,0,0,0,0,1,0,"('sadness',)","['allah', 'yajikanshi', 'allah', 'yagafarta', 'mashi', 'allah', 'yasa', 'karshen', 'wahalar', 'kenan', 'dasauran', 'musulmi']","['allah', 'yajikanshi', 'allah', 'yagafarta', 'mashi', 'allah', 'yasa', 'karshen', 'wahalar', 'kenan', 'dasauran', 'musulmi']"
hau_train_track_a_00012,"yaron yayi kashi a pampas din sa, kuma bata dauke ba, yana nan tsakar ɗaki.",0,1,0,0,0,0,"('disgust',)","['yaron', 'yayi', 'kashi', 'pampas', 'din', 'sa', ',', 'bata', 'dauke', ',', 'nan', 'tsakar', 'ɗaki', '.']","['yaron', 'yayi', 'kashi', 'pampa', 'din', 'sa', 'bata', 'dauk', 'nan', 'tsakar', 'ɗaki', '.']"
hau_train_track_a_00013,"keƙe da ƙeƙe: bayan janye takara, adamu garba ya fidda sunayen wadanda suka tara masa n83.2m",0,0,0,0,0,1,"('surprise',)","['keƙe', 'ƙeƙe', ':', 'bayan', 'janye', 'takara', ',', 'adamu', 'garba', 'fidda', 'sunayen', 'wadanda', 'tara', 'masa', 'n83.2m']","['keƙe', 'ƙeƙe', ':', 'bayan', 'jany', 'takara', 'adamu', 'garba', 'fidda', 'sunayen', 'wadanda', 'tara', 'masa', 'n.m']"
